"Timestamp","Email ID","Branch of Visit","Date of Visit","Time of Visit","Gender","Age Group","How often do you visit our store?","Which of the following categories do you usually shop for?","How satisfied are you with the overall cleanliness of our store?","How would you rate the availability of products you need?","How satisfied are you with the behaviour of our staff?","How would you rate the prices of our products compared to other stores?","Have you used our online shopping platform?","Would you recommend our store to others?","How would you rate our store's return policy?","How satisfied are you with the variety of products available?","How likely are you to visit our store again?","",""
"2024/08/01 1:09:25 PM GMT+5:30","nevil@gmail.com","Ahmedabad","2024-08-01","10:00","Male","25-34","Weekly","Groceries;Home & Kitchen;Stationery","5","4","4","4","Yes","Yes","3","4","5","3","Yes"
"2024/08/01 1:57:32 PM GMT+5:30","deepa@hotmail.com","Ludhiana","2024-07-08","11:30","Female","45-54","Bi-weekly","Groceries;Electronics;Toys & Games","4","2","3","4","Yes","Yes","2","4","5","4","Yes"
"2024/08/01 2:02:07 PM GMT+5:30","sunil@yahoomail.com","Delhi","2024-07-02","20:00","Male","35-44","Monthly","Groceries;Clothing;Toys & Games","4","5","3","4","No","Yes","4","3","5","",""
"2024/08/01 2:10:50 PM GMT+5:30","hitesh3912@gmail.com","Mumbai","2024-07-04","18:00","Male","55-64","Occasioanlly","Stationery","5","4","5","4","No","Yes","5","4","5","",""
"2024/08/02 9:54:48 PM GMT+5:30","anthony92@example.org","Dehradun","2023-07-19","07:05 PM","Female","25-34","Monthly","Groceries;Clothing;Electronics;Toys & Games","3","1","1","1","No","Yes","1","1","3","",""
"2024/08/02 10:07:31 PM GMT+5:30","whowe@example.net","Ludhiana","2023-05-29","04:54 PM","Male","55-64","Weekly","Electronics","4","3","4","4","No","No","4","5","3","",""
"2024/08/02 10:08:10 PM GMT+5:30","hayesfrank@example.net","Hyderabad","2023-05-05","02:05 PM","Female","18-24","Bi-weekly","Clothing;Electronics;Toys & Games","2","5","1","5","No","No","1","1","1","",""
"2024/08/02 10:10:54 PM GMT+5:30","griffithmichael@example.com","Lucknow","2023-11-17","04:14 PM","Female","65 and above","Weekly","Home & Kitchen;Hygiene & Sanitation;Toys & Games","3","1","2","5","No","No","2","3","3","",""
"2024/08/02 10:13:31 PM GMT+5:30","loganmichael@example.com","Hyderabad","2023-02-02","12:51 PM","Female","55-64","Daily","Clothing;Electronics;Hygiene & Sanitation;Toys & Games;Stationery","5","1","4","1","No","Yes","1","2","1","",""
"2024/08/02 10:14:05 PM GMT+5:30","craig54@example.com","Hyderabad","2023-02-14","06:36 PM","Female","25-34","Weekly","Clothing;Electronics;Hygiene & Sanitation;Toys & Games;Stationery","3","1","4","2","No","Yes","4","5","1","",""
